name,neighbourhood,latitude,longitude,room_type,minimum_nights,price,price_per_night,number_of_reviews,last_review,reviews_per_month
Sunny Greystone House in Hyde Park,Hyde Park,41.79817205,-87.59621334,Entire home/apt,2,$250.00,$125.00,6,09/08/2016,0.26
Lovely Hyde Park condo,Hyde Park,41.80108855,-87.59723161,Private room,1,$99.00,$99.00,0,,
"Spacious, Comfortable & Convenient",Hyde Park,41.80104966,-87.58702889,Entire home/apt,1,$123.00,$123.00,0,,
Welcome to Hyde Park's University of Chicago!,Hyde Park,41.79101082,-87.59031311,Entire home/apt,1,$99.00,$99.00,34,06/05/2017,4.9
Private Room w/ Bath near U of C,Hyde Park,41.80198638,-87.60464503,Private room,2,$90.00,$45.00,8,07/11/2016,0.56
Luxury Duplex Apartment - Hyde Park (Private Room),Hyde Park,41.80217666,-87.59731252,Private room,7,$45.00,$6.43,4,26/12/2016,0.66
Fresh and Sunny Bed & Bath by UofC,Hyde Park,41.79717849,-87.59734717,Private room,2,$70.00,$35.00,102,25/03/2017,3.92
Musician's Quarters,Hyde Park,41.79962669,-87.59476784,Entire home/apt,3,$85.00,$28.33,24,26/09/2016,0.59
Cozy Studio Apt. Home--5 Min. to U of C,Hyde Park,41.79770172,-87.60196066,Entire home/apt,2,$60.00,$30.00,35,07/05/2017,3.63
Historic Hyde Park Apartment,Hyde Park,41.80184347,-87.59192325,Entire home/apt,3,$650.00,$216.67,4,21/07/2016,0.36
Newly Renovated 4BR/2BA Condo @ Historic Hyde Park,Hyde Park,41.79904723,-87.6039073,Private room,2,$149.00,$74.50,9,26/04/2017,4.5
"Come, spend the summer near the Obama's.",Hyde Park,41.79633313,-87.59808352,Entire home/apt,4,$60.00,$15.00,0,,
"Cozy room, private bath, Hyde Park",Hyde Park,41.80156563,-87.59705165,Private room,1,$40.00,$40.00,75,05/05/2017,5.73
Hyde Park,Hyde Park,41.79856507,-87.60588856,Entire home/apt,1,$102.00,$102.00,0,,
Charming Greystone On Boulevard,Hyde Park,41.80187526,-87.6030153,Entire home/apt,3,$120.00,$40.00,0,,
Hyde Park - Walk to Univ of Chicago,Hyde Park,41.7888649,-87.58670891,Private room,2,$50.00,$25.00,75,04/05/2017,2.64
Garden Apartment in Historic Hyde Park Mansion,Hyde Park,41.80088459,-87.59571892,Entire home/apt,2,$240.00,$120.00,10,07/05/2017,1.29
Luxury Duplex Apartment - Hyde Park (Private Room),Hyde Park,41.80107472,-87.59635489,Private room,7,$72.00,$10.29,1,10/11/2016,0.16
Private Sunny Hyde Park Room & Bath,Hyde Park,41.79819026,-87.59601318,Private room,1,$98.00,$98.00,128,09/04/2017,2.86
Cozy Room & Space in Historic Hyde Park,Hyde Park,41.80036707,-87.58821499,Private room,1,$53.00,$53.00,91,06/05/2017,6.2
"New Refurb, 54th and Woodlawn | Double Bed!",Hyde Park,41.79748853,-87.59635755,Private room,1,$34.00,$34.00,13,07/04/2017,1.27
Desert Room Hyde Park,Hyde Park,41.80128959,-87.60049301,Private room,1,$70.00,$70.00,44,08/05/2017,4.46
"Spacious, tasteful, safe, clean acco in Hyde Park",Hyde Park,41.80065421,-87.58488197,Private room,1,$69.00,$69.00,35,30/04/2017,3.09
4 Cooperative Living in Hyde Park,Hyde Park,41.79507237,-87.59332266,Private room,2,$40.00,$20.00,22,30/03/2017,0.89
Private Bed & Bath---near Museum & UChicago,Hyde Park,41.79401253,-87.58375316,Private room,1,$60.00,$60.00,2,09/05/2017,2
Clean & Spacious Room in Hyde Park,Hyde Park,41.79702482,-87.58635428,Private room,2,$48.00,$24.00,10,09/05/2017,1.53
The NorthEast Room near U of C,Hyde Park,41.79124463,-87.58821797,Private room,1,$84.00,$84.00,3,09/04/2016,0.12
Master Bedroom Suite,Hyde Park,41.78859622,-87.58903276,Private room,1,$100.00,$100.00,113,24/04/2017,4.15
Private Room in Hyde Park,Hyde Park,41.79369236,-87.58667995,Private room,1,$30.00,$30.00,3,28/04/2017,3
"Hyde Park Beauty: Old Charm, Modern Amenities",Hyde Park,41.79738547,-87.59901411,Entire home/apt,2,$205.00,$102.50,1,07/05/2017,1
Swanky Studio Steps From the Lake,Hyde Park,41.80163862,-87.58647633,Entire home/apt,1,$111.00,$111.00,1,09/05/2017,1
5min walk to UnivOfChicago. 1BDR/Private Full Bath,Woodlawn,41.78315782,-87.60597765,Private room,2,$52.00,$26.00,15,01/05/2017,1.81
Spacious Bedroom in Woodlawn near lake,Woodlawn,41.77383935,-87.59310631,Private room,1,$50.00,$50.00,9,07/05/2017,0.93
Cozy three bedroom apartment,Woodlawn,41.77997566,-87.59490042,Entire home/apt,1,$120.00,$120.00,7,23/04/2017,2.08
(MEV) 2Blks to Univ of Chicago歡迎 أهلا بكस्वागत हे,Woodlawn,41.78385813,-87.60582731,Private room,2,$55.00,$27.50,0,,
Free Garage Parking with Room,Woodlawn,41.77741038,-87.60011148,Private room,1,$85.00,$85.00,0,,
Home away from home near U of C,Woodlawn,41.78413711,-87.60495529,Entire home/apt,2,$100.00,$50.00,16,23/04/2017,1.45
ModLux 3 bks to U of Chicago歡迎 أهلا بكस्वागत हे,Woodlawn,41.78277741,-87.61015465,Entire home/apt,3,$155.00,$51.67,2,23/04/2017,2
