name,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month
Homestay with UChicago grad + free parking,41.78132937,-87.59199907,Private room,68,2,0,,
Big BDRM Close to Downtown CHI,41.77699794,-87.59840397,Private room,85,2,11,02/04/2017,0.31
Cozy Room near UofChicago/Hyde Park/FreeParking,41.7772443,-87.59761756,Private room,41,1,31,09/05/2017,1.40
Top-Floor Vintage Rogers Park by EL,42.01446733,-87.66605972,Private room,120,3,27,12/10/2016,1.00
Large room with studio feel,42.00182852,-87.66526909,Private room,50,1,5,06/05/2017,0.35
Private den in Chicago,41.99941553,-87.66149984,Private room,65,1,0,,
Rogers Park - Lovely Room in our Condo!,42.02228288,-87.67217563,Private room,60,1,43,03/05/2017,3.57
Deco furnished room with loaded guest common area.,42.00824705,-87.67896796,Private room,30,1,0,,
Nice Bedroom in a Quiet Area!,42.00328955,-87.6719225,Private room,42,2,4,16/04/2017,1.46
"Trundle bedroom, nicely furnished, neat, and cozy.",42.0079111,-87.67827749,Private room,30,1,3,08/05/2017,2.25
Authentic 1920s Castle: Room 1,42.01723989,-87.68235701,Private room,28,2,37,02/05/2017,2.45
Corner View Apt (2 bed 2 bath),42.00143815,-87.66088462,Entire home/apt,175,1,22,14/04/2017,3.08
Private Bed & Bath in Edgewater/RP,41.99831475,-87.66428005,Private room,75,1,70,28/08/2016,2.69
1 Weeknd Left in July - 4 Bdrooms-3 parking spots!,42.01001949,-87.66688171,Entire home/apt,275,1,6,03/05/2017,4.62
Spacious bedroom with Balcony,42.00610482,-87.66298333,Private room,85,2,17,05/02/2017,0.57
Rogers Park/Andersonville/NU/Loyola beautiful apt,42.00112444,-87.67033064,Private room,40,1,1,12/04/2017,1.00
Northwestern University PrivateRoom,42.00604323,-87.66765866,Private room,50,15,45,09/05/2017,1.05
"Bright, Sunny, Huge Near the Lake!",42.00848755,-87.66846404,Private room,38,2,3,24/04/2017,0.16
"Private Master Suite in Beautiful, Inviting Condo",42.01695412,-87.68235684,Private room,50,2,4,07/05/2017,1.32
Spacious and warm up North,42.00241925,-87.66713039,Entire home/apt,200,1,7,18/04/2017,2.59
Two-Level Rogers Park Condo!,42.02096696,-87.67380259,Private room,50,1,31,07/05/2017,2.57
Bedroom with workspace,41.99947746,-87.66509893,Private room,60,1,1,25/08/2016,0.12
Beautiful condo close to the beach ,42.0213883,-87.67363218,Private room,40,1,20,07/03/2017,0.81
